titulo,descripcion,estado,prioridad,asignatario,etiquetas,explicacion_ia,origen_ia
"Error crítico en producción afecta pagos","Usuarios no pueden completar pagos desde hace 20 minutos. Impacto alto en ventas.","nuevo","alta","Equipo de Producción","producción,pagos,urgente","Detectada urgencia crítica por palabras clave 'crítico', 'producción' y 'impacto alto'.","reglas"
"Acceso al módulo de facturación","Nuevo integrante requiere permisos de lectura en contabilidad para revisar facturas.","nuevo","media","Administrador de Sistemas","acceso,contabilidad","Solicitud de permisos identificada por términos 'acceso' y 'permisos'.","reglas"
"Duda sobre filtros en vista de clientes","¿Cómo filtrar clientes por país y fecha de registro?","nuevo","baja","Soporte Técnico","soporte,consulta","Consulta simple detectada por pregunta directa y términos de interfaz.","reglas"
"Sugerencia: atajo para marcar tickets como resueltos","Facilitar cierre masivo con un botón en la vista de lista.","nuevo","media","Equipo de Desarrollo","mejora,UX","Idea de mejora identificada por 'sugerencia' y 'mejora'.","reglas"
"Lentitud en base de datos","Consultas tardan más de lo normal en horas pico; afecta tiempos de respuesta.","nuevo","media","Equipo de Infraestructura","infraestructura,rendimiento","Incidente de rendimiento detectado por 'lentitud' y 'tiempos de respuesta'.","reglas"
"Descuento no aplicado en pedidos","Al crear un pedido con cupón, el descuento no se refleja en el total.","nuevo","alta","Equipo de Ventas","bug,ventas","Bug funcional identificado por 'no se refleja' y contexto de ventas.","reglas"
"Reporte semanal de tickets por prioridad","Necesito un panel con conteo por prioridad y estado para el standup.","nuevo","baja","Equipo de BI","reporte,métricas","Solicitud de reporte detectada por 'reporte' y 'conteo'.","reglas"
"Ticket duplicado de pagos","Mismo problema ya registrado en otro ticket; cerrar este como duplicado.","cancelado","baja","Soporte","duplicado","Duplicado identificado por 'duplicado' y 'mismo problema'.","reglas"
"Rol sin permisos para aprobar gastos","Un rol de gerente no puede aprobar gastos, pero debería poder.","nuevo","media","Administrador de Seguridad","seguridad,permisos,gastos","Problema de permisos detectado por 'permisos' y 'aprobar gastos'.","reglas"
"Cliente no recibe confirmación de pedido","El correo de confirmación no llega tras completar el pedido; revisar configuración.","nuevo","media","Equipo de Correo","correo,confirmación,pedidos","Problema de correo identificado por 'correo' y 'no llega'.","reglas"
